id,palabra,tiempo_tdl,tiempo_naming,edad_de_adquisicion_m,categoria_palabra
721,"cristal",509,511.30,3.28,1
722,"cristiano",540,534.08,3.56,3
723,"criterio",545,527.31,5.37,1
724,"criticar",576,552.25,4.52,1
725,"cromatina",634,572.15,6.57,1
726,"cronología",607,558.30,5.46,1
727,"cruce",551,505.29,3.92,1
728,"crueldad",572,551.98,4.15,1
729,"cruzar",495,502.81,3.36,1
730,"cuadrado",521,547.98,2.06,3
731,"cuadro",510,514.61,2.22,1
732,"cualidad",576,535.92,4.67,1
733,"cuartel",546,530.29,4.62,1
734,"cuarto",513,495.85,2.92,3
735,"cuarzo",577,527.54,5.88,1
736,"cubil",593,537.88,6.32,1
737,"cubismo",608,550.37,6.23,1
738,"cubo",517,515.36,2.09,1
739,"cubrir",554,507.10,3.92,2
740,"cuchillo",535,523.55,1.81,1
741,"cuello",526,496.28,1.81,1
742,"cuenca",535,513.21,3.33,1
743,"cuenco",537,515.06,3.12,1
744,"cuerda",507,498.24,2.58,1
745,"cuerno",515,508.70,2.82,1
746,"cuero",561,528.70,3.92,1
747,"cuerpo",483,505.15,2.44,1
748,"cuesta",501,506.36,3.74,1
749,"cuestión",533,507.87,3.96,1
750,"cueva",510,499.46,2.87,1
751,"cuidar",507,525.24,2.88,2
752,"culebra",552,532.92,3.36,1
753,"culminar",561,549.90,3.24,1
754,"culpa",515,495.78,3.60,1
755,"culpable",527,537.59,4.04,1
756,"cultivar",537,530.61,3.72,1
757,"culto",528,495.45,4.64,3
758,"cumbre",534,511.35,6.11,1
759,"cúmulo",595,536.54,5.68,1
760,"cuna",520,512.88,1.71,1
761,"cuneta",654,527.28,4.88,1
762,"cuñado",543,528.09,4.44,3
763,"cuota",615,500.15,5.79,1
764,"cúpula",576,545.55,6.04,1
765,"cura",498,543.90,2.55,1
766,"curar",513,481.55,2.80,1
767,"curiosidad",556,537.56,4.09,1
768,"cursi",561,526.25,3.72,1
769,"curso",497,496.70,2.83,1
770,"curvatura",611,575.55,4.92,1
771,"cutis",606,517.17,5.16,1
772,"dado",567,510.83,2.77,1
773,"dama",516,503.49,3.19,1
774,"daño",517,502.94,2.76,1
775,"dar",528,505.08,2.36,2
776,"dardo",596,537.36,3.87,1
777,"dato",540,505.44,4.00,1
778,"deambular",678,577.04,5.79,1
779,"deber",528,511.90,3.72,2
780,"debilidad",558,547.56,4.97,1
781,"década",575,521.32,4.29,1
782,"decisión",542,560.76,3.75,1
783,"declarar",540,528.00,4.68,1
784,"dedicar",533,532.30,4.72,2
785,"dedo",505,525.12,1.19,1
786,"defender",544,526.63,3.64,1
787,"dejar",490,508.33,2.88,2
788,"delicia",581,531.31,4.62,1
789,"delito",576,520.47,4.32,1
790,"delta",642,520.86,5.06,1
791,"democracia",573,539.63,4.91,1
792,"demostrar",561,555.94,4.60,2
793,"denominar",547,538.51,5.04,2
794,"dentadura",622,543.72,3.54,1
795,"denunciar",564,554.92,4.88,2
796,"depósito",595,543.35,4.36,1
797,"depresión",544,517.56,5.64,1
798,"derecho",502,501.70,3.84,3
799,"derribar",579,541.66,4.56,1
800,"desastre",580,545.45,4.32,1
801,"descender",536,541.60,4.00,1
802,"desear",542,523.20,3.12,1
803,"desechar",633,558.61,4.92,1
804,"deseo",518,503.72,3.46,1
805,"desierto",545,536.40,3.20,3
806,"designar",571,552.06,5.24,1
807,"desistir",598,553.61,5.24,1
808,"despreciar",552,563.19,4.48,1
809,"desprecio",581,554.30,4.88,1
810,"destacar",530,556.88,4.52,1
811,"destruir",546,546.18,3.52,1
812,"desván",585,517.11,3.72,1
813,"desviar",538,533.34,5.00,1
814,"detectar",565,554.73,4.40,1
815,"detector",590,535.90,5.03,1
816,"detener",523,528.28,4.12,2
817,"determinar",545,551.15,4.68,2
818,"deuda",537,520.44,5.28,1
819,"deuterio",526,614.33,6.94,1
820,"devoción",612,546.45,5.54,1
821,"devolver",562,515.56,3.92,1
822,"devoto",652,528.57,5.68,1
823,"día",517,527.04,2.16,1
824,"diablo",506,515.13,2.89,1
825,"diagonal",568,555.66,4.40,1
826,"diagrama",585,555.45,5.68,1
827,"dialéctica",651,580.81,6.57,1
828,"dialecto",582,556.48,5.51,1
829,"diámetro",563,559.91,4.80,1
830,"diario",504,519.40,3.44,1
831,"diciembre",524,524.67,2.52,1
832,"dictado",606,584.83,3.36,1
833,"dictamen",652,581.16,6.55,1
834,"dictar",588,536.86,3.64,2
835,"diente",559,510.37,1.60,1
836,"dieta",525,508.72,4.62,1
837,"diferencia",582,539.57,2.83,1
838,"diligencia",631,569.20,5.36,1
839,"dimensión",539,519.60,4.54,1
840,"dinámica",523,535.28,5.68,1
841,"dinamismo",649,574.41,5.88,1
842,"dinero",506,517.42,2.19,1
843,"dios",488,489.37,3.00,1
844,"director",501,523.76,3.83,1
845,"discernir",694,603.71,6.00,1
846,"disciplina",544,542.98,5.80,1
847,"discípulo",578,559.27,5.08,1
848,"disco",509,500.37,3.19,1
849,"discordia",585,537.10,6.04,1
850,"discoteca",526,539.83,4.60,1
851,"discreción",617,573.47,5.26,1
852,"discurrir",557,550.74,4.64,2
853,"discurso",525,519.52,5.04,1
854,"discutir",528,510.75,3.64,1
855,"diseñar",534,530.27,4.60,1
856,"diseño",537,506.23,5.12,1
857,"disimular",559,535.48,4.40,1
858,"disminuir",585,553.30,4.76,2
859,"disparar",517,535.27,3.40,1
860,"disponer",545,513.34,4.72,1
861,"distancia",549,525.88,3.57,1
862,"distinguir",551,547.57,3.28,1
863,"distraer",565,545.40,3.92,1
864,"diván",580,520.61,6.12,1
865,"diversidad",583,564.23,5.44,1
866,"diversión",528,556.70,2.96,1
867,"dividir",539,524.08,3.68,1
868,"divinidad",578,532.94,4.58,1
869,"doctor",484,506.76,3.60,1
870,"doctrina",541,528.00,5.73,1
871,"documento",499,532.44,4.68,1
872,"dogma",610,544.26,6.18,1
873,"dolencia",575,546.20,4.92,1
874,"dolor",470,503.32,2.48,1
875,"domicilio",545,524.85,4.76,1
876,"don",579,478.06,4.11,1
877,"dormir",490,494.08,1.76,2
878,"dormitorio",530,528.02,2.64,1
879,"dorso",547,491.52,5.08,1
880,"dosis",578,505.13,5.12,1
881,"dragón",524,524.55,2.19,1
882,"drama",522,523.52,4.92,1
883,"droga",514,483.30,5.20,1
884,"ducha",497,500.70,2.03,1
885,"dudar",561,512.69,3.40,2
886,"duelo",560,498.85,5.16,1
887,"dueño",484,495.16,3.08,3
888,"dúo",581,513.21,4.16,1
889,"duque",562,531.23,4.68,1
890,"durar",530,505.69,3.20,1
891,"duro",512,496.59,3.16,3
892,"echar",521,489.33,2.52,1
893,"eco",562,471.71,3.36,1
894,"economía",548,538.17,5.27,1
895,"ecuación",565,571.35,5.35,1
896,"edad",479,489.37,2.17,1
897,"edificar",557,525.34,4.92,1
898,"edificio",530,508.62,3.52,1
899,"educar",548,482.08,4.00,1
900,"efectivo",540,541.73,4.80,3
901,"efecto",529,485.64,3.97,1
902,"efectuar",533,496.14,5.44,1
903,"eficacia",597,547.76,5.00,1
904,"efigie",566,564.61,6.68,1
905,"eje",554,506.74,6.04,1
906,"ejecutar",544,521.14,4.60,1
907,"ejecutivo",550,538.78,5.44,3
908,"ejercer",542,512.04,4.80,1
909,"ejercicio",544,525.18,3.80,1
910,"ejército",521,521.31,4.20,1
911,"elaborar",559,506.45,4.64,1
912,"elástico",581,520.79,3.88,1
913,"electrón",577,536.57,6.36,1
914,"elefante",559,510.34,2.15,1
915,"elegir",510,479.20,4.64,2
916,"elemento",494,476.15,4.56,1
917,"elevar",538,494.19,4.36,2
918,"eliminar",508,522.19,3.72,1
919,"elocuencia",705,582.56,6.34,1
920,"elogiar",605,521.83,5.16,1
921,"elogio",573,510.02,5.16,1
922,"eludir",603,504.72,6.00,1
923,"embajada",559,538.24,5.63,1
924,"embarazo",514,549.81,3.84,1
925,"embriaguez",613,559.53,6.32,1
926,"embrión",587,528.12,6.16,1
927,"emitir",567,492.73,4.92,1
928,"emperatriz",611,573.17,5.20,1
929,"emprender",574,534.31,5.24,1
930,"enano",546,501.83,2.76,3
931,"encender",553,531.26,4.88,1
932,"encontrar",533,542.88,2.52,2
933,"encuentro",553,537.54,4.50,1
934,"encuesta",550,546.69,4.96,1
935,"energía",543,520.20,3.89,1
936,"enero",497,479.10,2.19,1
937,"enfermedad",544,526.23,3.15,1
938,"enfermera",577,558.43,2.59,1
939,"engendrar",639,572.36,5.56,2
940,"engordar",546,549.48,3.68,1
941,"enigma",571,505.69,5.29,1
942,"enjambre",675,540.48,4.23,1
943,"ensalada",578,595.51,3.20,1
944,"ente",656,470.81,5.97,1
945,"entender",535,534.22,3.00,1
946,"entero",494,508.02,2.92,3
947,"enterrar",534,534.42,4.16,1
948,"entrar",504,495.15,2.32,2
949,"entregar",555,553.51,4.12,2
950,"entrever",622,530.79,5.56,1
951,"entusiasmo",615,569.24,4.96,1
952,"enumerar",628,564.31,4.20,1
953,"envejecer",573,531.63,3.88,1
954,"enviar",552,496.40,3.92,2
955,"envidiar",543,525.63,3.96,1
956,"envolver",570,558.13,3.44,1
957,"enzima",640,493.92,6.51,1
958,"épica",589,513.36,6.06,1
959,"epidemia",588,534.22,5.08,1
960,"epígrafe",650,540.35,6.08,1
961,"episodio",575,553.00,4.24,1
962,"época",520,495.59,3.94,1
963,"epopeya",654,575.65,6.29,1
964,"equilibrio",519,537.67,4.65,1
965,"equipo",510,502.17,2.84,1
966,"equis",685,511.91,4.28,1
967,"equívoco",576,514.19,5.40,1
968,"ermita",601,523.65,5.04,1
969,"error",511,477.13,3.00,1
970,"escala",508,487.52,4.65,1
971,"escalera",529,508.32,2.14,1
972,"escalinata",671,560.65,5.72,1
973,"escalofrío",567,545.43,4.40,1
974,"escándalo",589,537.56,4.68,1
975,"escaño",563,487.46,5.94,1
976,"escapar",513,503.73,2.80,1
977,"escaparate",625,541.46,3.56,1
978,"escayola",593,522.30,4.16,1
979,"escena",511,497.80,3.88,1
980,"escenario",539,520.19,3.04,1
981,"escéptico",646,562.45,5.88,1
982,"escoba",544,491.91,2.44,1
983,"esconder",553,491.10,2.40,2
984,"escondite",571,522.76,2.36,1
985,"escopeta",571,535.53,2.86,1
986,"escote",539,491.41,5.00,1
987,"escribir",505,507.14,2.40,2
988,"escritorio",551,511.13,3.48,1
989,"escudo",518,495.68,3.43,1
990,"escultura",528,487.16,4.36,1
991,"esfera",544,493.56,4.68,1
992,"esmoquin",635,523.33,4.73,1
993,"espacio",506,500.08,4.16,1
994,"espada",498,483.83,2.50,1
995,"espanto",558,522.75,4.48,1
996,"especie",519,512.83,3.86,1
997,"espectador",578,531.81,4.24,1
998,"espejo",493,513.40,2.15,1
999,"esperanza",537,510.46,5.00,1
1000,"esperpento",666,572.96,6.31,1
1001,"espiar",566,524.75,3.52,1
1002,"espina",537,488.33,3.03,1
1003,"espionaje",596,559.17,4.96,1
1004,"espíritu",543,523.85,4.20,1
1005,"esplendor",583,524.65,5.20,1
1006,"esponja",528,512.47,2.50,1
1007,"espontánea",580,526.54,5.32,1
1008,"esposa",512,495.85,3.38,1
1009,"esposo",515,479.38,4.16,1
1010,"espuma",535,496.84,3.48,1
1011,"esqueleto",550,535.00,3.22,1
1012,"esquivar",553,499.14,4.20,1
1013,"establecer",546,548.92,4.96,2
1014,"estaca",608,504.48,4.48,1
1015,"estación",537,535.65,3.15,1
1016,"estado",552,507.02,4.38,1
1017,"estallar",530,512.04,3.64,1
1018,"estamento",635,534.53,5.89,1
1019,"estantería",613,564.04,3.30,1
1020,"estatura",581,535.58,3.44,1
1021,"estatuto",579,543.10,5.54,1
1022,"estela",550,508.71,5.72,1
1023,"estética",593,561.63,5.44,1
1024,"estiércol",649,567.92,4.88,1
1025,"estilo",516,512.25,4.50,1
1026,"estimular",549,526.17,5.76,1
1027,"estímulo",541,521.02,6.04,1
1028,"estirpe",648,528.33,6.39,1
1029,"estómago",549,535.19,2.97,1
1030,"estrategia",584,532.42,5.12,1
1031,"estrecho",524,512.85,3.44,3
1032,"estrella",526,484.69,2.42,1
1033,"estremecer",613,566.88,5.36,2
1034,"estrenar",540,554.09,3.32,1
1035,"estrépito",660,553.38,5.88,1
1036,"estrés",545,504.43,5.32,1
1037,"estructura",553,523.31,5.20,1
1038,"estudiar",517,496.17,3.28,2
1039,"etapa",551,497.51,4.20,1
1040,"eternidad",570,531.28,5.03,1
1041,"ética",541,483.84,5.40,1
1042,"etiqueta",552,518.36,3.37,1
1043,"eufemismo",673,590.76,6.69,1
1044,"euforia",582,535.57,5.24,1
1045,"evangelio",590,565.18,4.68,1
1046,"evidencia",574,545.50,4.94,1
1047,"evitar",494,489.40,4.12,1
1048,"evocar",540,482.94,6.20,1
1049,"exagerar",573,536.86,3.96,1
1050,"examen",502,522.41,4.28,1
1051,"examinar",506,516.35,4.40,2
1052,"excelencia",566,560.72,5.29,1
1053,"exceso",567,505.65,4.12,1
1054,"excursión",528,522.42,2.68,1
1055,"exigir",510,516.31,4.76,1
1056,"exilio",576,493.81,5.60,1
1057,"existencia",565,537.29,4.34,1
1058,"éxito",483,497.84,4.24,1
1059,"expansión",588,515.57,4.97,1
1060,"expediente",550,528.73,5.64,1
1061,"experto",527,499.46,4.72,3
1062,"explanada",651,569.00,5.48,1
1063,"explicar",485,491.33,3.64,2
1064,"explorar",527,505.11,3.68,1
1065,"explosión",517,521.04,3.64,1
1066,"explotar",515,505.88,4.00,1
1067,"exponer",520,510.73,5.32,1
1068,"expresar",514,504.72,4.24,1
1069,"expresión",536,523.08,4.26,1
1070,"expulsar",524,510.45,4.16,1
1071,"expulsión",563,519.47,4.56,1
1072,"extender",533,536.30,4.32,1
1073,"exterior",508,520.13,3.60,1
1074,"extra",537,506.58,4.56,1
1075,"extraer",536,530.48,4.60,1
1076,"extranjero",584,523.76,4.24,3
1077,"extrañar",499,544.30,4.20,1
1078,"extraño",523,500.76,3.60,1
1079,"extremo",535,497.80,4.24,3
1080,"fabricar",517,530.52,4.04,1
1081,"fábula",548,515.70,4.08,1
1082,"factor",514,507.54,4.74,1
1083,"factoría",550,525.31,5.64,1
1084,"factura",568,511.78,5.12,1
1085,"facultad",518,525.13,4.96,1
1086,"faena",585,529.10,4.52,1
1087,"fajo",589,486.04,6.16,1
1088,"falacia",607,504.71,6.46,1
1089,"falda",506,523.14,1.96,1
1090,"fallar",541,484.67,3.36,2
1091,"falsedad",554,510.81,4.84,1
1092,"faltar",526,496.51,3.48,2
1093,"fama",555,499.88,4.04,1
1094,"fanático",629,553.96,5.28,1
1095,"fango",562,506.60,4.32,1
1096,"fantasía",536,516.58,3.68,1
1097,"fantasma",527,518.65,2.26,1
1098,"farmacia",544,515.30,4.04,1
1099,"farsa",607,510.81,5.38,1
1100,"fase",532,493.30,4.40,1
1101,"fauces",718,508.77,5.64,1
1102,"fauna",559,500.35,4.08,1
1103,"favor",484,466.87,4.16,1
1104,"faz",601,476.90,5.84,1
1105,"fecundidad",650,555.00,6.28,1
1106,"felicidad",543,539.96,3.60,1
1107,"felpa",613,488.00,5.64,1
1108,"fenómeno",541,534.46,4.47,1
1109,"feria",540,512.06,2.88,1
1110,"festejar",629,553.73,4.16,1
1111,"festival",556,522.35,4.04,1
1112,"fibra",536,497.15,5.28,1
1113,"fibrina",539,553.53,6.74,1
1114,"ficha",536,507.06,2.76,1
1115,"fidelidad",604,524.69,5.48,1
1116,"fiebre",532,488.29,2.84,1
1117,"fiera",567,495.00,3.80,1
1118,"fiesta",513,476.67,3.32,1
1119,"figura",489,488.81,2.96,1
1120,"fila",579,465.11,2.96,1
1121,"filmar",637,520.06,4.64,1
1122,"filo",591,509.35,4.88,1
1123,"filón",610,493.74,6.40,1
1124,"filosofía",535,528.58,5.66,1
1125,"fin",520,461.25,2.32,1
1126,"final",514,479.75,2.56,1
1127,"financiero",598,548.13,5.56,3
1128,"fingir",523,494.96,4.40,1
1129,"firmamento",751,596.98,4.76,1
1130,"firmar",499,506.98,3.80,1
1131,"fiscal",536,507.44,5.52,1
1132,"física",515,505.54,5.03,1
1133,"físico",535,491.35,4.36,3
1134,"fisiología",581,559.88,6.24,1
1135,"flauta",529,527.18,2.96,1
1136,"flecha",525,504.75,2.69,1
1137,"flema",549,516.06,4.88,1
1138,"flequillo",577,542.98,3.36,1
1139,"flor",489,507.37,1.61,1
1140,"flora",523,507.06,4.44,1
1141,"florecer",536,518.20,3.40,2
1142,"flotar",525,505.85,2.92,2
1143,"fluir",533,506.15,5.00,2
1144,"fobia",560,498.33,5.46,1
1145,"foco",530,488.63,3.78,1
1146,"fogón",602,509.55,4.60,1
1147,"folio",541,510.94,2.76,1
1148,"fomentar",588,530.48,5.40,1
1149,"fondo",490,476.35,3.52,1
1150,"forastero",627,554.19,4.80,1
1151,"forjar",592,534.04,6.00,1
1152,"forma",505,488.74,2.52,1
1153,"formar",479,493.46,3.64,1
1154,"fortaleza",573,522.94,5.04,1
1155,"fortuna",541,519.35,4.88,1
1156,"forzar",553,502.63,4.80,1
1157,"fosa",656,498.42,5.28,1
1158,"fósforo",532,540.53,5.00,1
1159,"foto",497,480.84,2.26,1
1160,"fotógrafo",566,546.64,3.12,1
1161,"fracción",593,532.61,4.76,1
1162,"fragancia",551,550.90,4.64,1
1163,"fragmento",585,547.37,4.77,1
1164,"fragor",574,527.08,6.71,1
1165,"fragua",557,519.30,6.04,1
1166,"fraile",540,522.43,4.48,1
1167,"franja",531,494.08,5.31,1
1168,"frasco",533,475.48,3.00,1
1169,"frase",521,494.16,3.04,1
1170,"frecuencia",560,541.96,4.85,1
1171,"fregar",538,510.22,3.32,1
1172,"freno",556,528.44,3.44,1
1173,"frente",514,468.83,2.32,1
1174,"fresa",535,476.78,2.20,1
1175,"fresco",552,492.62,3.88,3
1176,"fruto",502,487.25,3.16,1
1177,"fuego",500,467.56,2.06,1
1178,"fuente",491,505.08,2.51,1
1179,"fuerte",497,498.46,2.68,1
1180,"fuerza",484,510.69,3.00,1
1181,"fuga",515,475.69,4.44,1
1182,"fugitivo",563,528.19,5.00,1
1183,"fulgor",627,503.42,6.39,1
1184,"fumar",486,501.59,3.32,1
1185,"funcionar",550,524.55,2.96,2
1186,"fundamento",608,532.60,5.17,1
1187,"fundar",498,507.77,5.00,1
1188,"furia",535,487.48,4.60,1
1189,"furor",572,511.12,5.20,1
1190,"fuselaje",653,561.31,6.49,1
1191,"fusil",583,509.15,4.19,1
1192,"fusión",534,494.14,5.54,1
1193,"fusta",513,476.10,5.64,1
1194,"fútbol",509,498.94,2.48,1
1195,"futuro",525,488.07,3.61,3
1196,"gabinete",577,535.92,5.79,1
1197,"galán",547,526.27,4.84,1
1198,"galardón",645,551.75,5.60,1
1199,"gallinero",566,560.06,3.64,1
1200,"gallo",496,506.20,1.75,1
1201,"gama",556,522.46,4.89,1
1202,"ganar",489,492.04,2.24,2
1203,"gancho",570,519.79,3.50,1
1204,"garaje",514,529.57,3.02,1
1205,"garbo",580,535.29,6.00,1
1206,"garganta",552,539.35,3.12,1
1207,"gas",499,487.77,4.16,1
1208,"gastar",557,495.33,3.28,1
1209,"gen",559,513.78,5.79,1
1210,"generar",508,522.81,4.92,1
1211,"género",512,529.76,4.37,1
1212,"genio",531,499.88,3.37,1
1213,"gente",478,469.59,2.60,1
1214,"geografía",553,536.28,4.44,1
1215,"geometría",576,561.98,5.64,1
1216,"germen",622,529.26,5.58,1
1217,"gesto",551,513.17,4.08,1
1218,"gimnasia",518,550.98,2.84,1
1219,"gimnasio",559,550.71,3.44,1
1220,"ginebra",566,539.78,6.24,1
1221,"girar",535,496.37,2.68,2
1222,"gitano",503,507.49,3.80,3
1223,"globo",506,495.98,1.42,1
1224,"gloria",494,517.41,5.00,1
1225,"glorieta",618,557.88,5.20,1
1226,"gobernador",596,564.93,4.52,1
1227,"gobernanta",703,597.35,6.28,1
1228,"gobernar",546,568.64,4.72,1
1229,"golf",491,508.43,4.48,1
1230,"golondrina",585,547.75,3.36,1
1231,"golpe",516,513.33,2.80,1
1232,"goma",546,513.57,1.96,1
1233,"gorra",543,510.35,2.77,1
1234,"gorro",494,515.91,1.81,1
1235,"gota",506,500.06,2.39,1
1236,"gozo",523,509.58,5.76,1
1237,"grado",511,493.76,4.17,1
1238,"gramática",557,524.02,4.46,1
1239,"granja",520,504.56,2.36,1
1240,"grano",519,502.08,3.20,1
1241,"grasa",481,488.34,4.48,1
1242,"gratitud",553,530.60,5.36,1
1243,"gravedad",519,530.23,4.92,1
1244,"gremio",589,559.39,5.62,1
1245,"grieta",541,535.38,4.06,1
1246,"grifo",542,484.86,1.74,1
1247,"gripe",498,508.98,2.62,1
1248,"gritar",501,528.72,2.08,1
1249,"grosor",567,520.24,4.88,1
1250,"grueso",535,500.74,3.80,3
1251,"grupo",478,485.80,2.86,1
1252,"gruta",556,504.02,4.68,1
1253,"guante",573,506.37,4.31,1
1254,"guardián",547,528.00,3.85,1
1255,"guerra",500,520.47,3.58,1
1256,"guitarra",495,530.69,2.73,1
1257,"gusano",513,523.07,2.31,1
1258,"gustar",500,516.43,1.88,2
1259,"gusto",534,502.58,2.88,1
1260,"habano",641,550.03,5.44,1
1261,"haber",614,504.45,2.68,2
1262,"habilidad",527,521.02,4.44,1
1263,"hábito",561,497.68,5.72,1
1264,"hablar",488,486.04,1.56,2
1265,"hacer",500,478.92,2.16,2
1266,"hacha",620,521.28,3.19,1
1267,"hacienda",543,537.19,5.64,1
1268,"hada",559,480.71,2.07,1
1269,"hálito",610,527.42,6.78,1
1270,"hallar",567,495.02,4.76,1
1271,"halo",554,500.51,6.46,1
1272,"hamaca",680,537.04,3.70,1
1273,"hambre",544,487.16,1.92,1
1274,"harén",585,508.74,6.28,1
1275,"harina",541,504.63,3.28,1
1276,"hastío",688,514.92,6.46,1
1277,"haz",546,491.46,5.52,1
1278,"hazaña",561,521.48,4.96,1
1279,"hebra",562,509.36,6.04,1
1280,"hedor",571,523.80,5.92,1
1281,"hegemonía",611,576.44,6.46,1
1282,"hélice",609,538.42,4.44,1
1283,"hembra",537,509.56,3.60,1
1284,"hemisferio",603,527.27,5.36,1
1285,"heredero",540,526.88,4.40,3
1286,"herir",530,485.79,3.60,2
1287,"héroe",527,497.98,3.04,1
1288,"heroína",568,526.68,5.54,1
1289,"heroísmo",607,532.59,4.84,1
1290,"hiedra",562,529.85,5.15,1
1291,"hielo",491,511.94,2.88,1
1292,"hierba",533,502.78,2.52,1
1293,"hierro",491,502.76,4.04,1
1294,"hígado",532,513.52,4.36,1
1295,"hijo",506,490.15,2.40,1
1296,"hilo",526,485.47,2.88,1
1297,"hipo",564,490.06,2.92,1
1298,"hipócrita",584,528.63,5.48,1
1299,"hipófisis",663,592.88,6.67,1
1300,"hipótesis",541,545.06,5.81,1
1301,"histeria",544,535.75,6.44,1
1302,"historia",496,500.15,3.60,1
1303,"hito",627,491.46,6.17,1
1304,"hogar",507,486.15,3.12,1
1305,"hoja",517,479.02,1.96,1
1306,"holocausto",663,560.39,6.08,1
1307,"hombre",511,490.98,2.17,1
1308,"hombro",498,485.50,2.25,1
1309,"homenaje",553,535.75,5.96,1
1310,"honor",510,496.91,4.61,1
1311,"honra",625,494.20,5.29,1
1312,"hora",488,507.38,2.60,1
1313,"horca",598,500.71,4.34,1
1314,"horda",637,509.36,6.57,1
1315,"horizonte",528,524.31,4.35,1
1316,"horno",520,503.49,3.03,1
1317,"horror",485,487.83,4.16,1
1318,"hospital",499,508.02,2.38,1
1319,"hotel",492,494.10,3.16,1
1320,"hoyo",552,484.50,3.68,1
1321,"hoz",550,481.73,4.18,1
1322,"hueco",530,484.15,3.44,3
1323,"huérfana",599,558.50,4.32,1
1324,"huérfano",546,552.21,4.00,3
1325,"huerta",505,521.47,2.64,1
1326,"huerto",547,517.53,2.80,1
1327,"hueso",496,508.86,2.71,1
1328,"huevo",503,493.98,1.71,1
1329,"huir",528,496.06,4.04,2
1330,"humanidad",537,556.15,4.88,1
1331,"humanismo",603,558.65,5.91,1
1332,"humanista",560,566.30,5.64,1
1333,"humano",468,519.49,3.00,3
1334,"humildad",582,567.02,4.24,1
1335,"humo",480,494.22,3.16,1
1336,"humor",487,503.72,3.15,1
1337,"hundir",523,518.02,3.80,1
1338,"hurgar",584,524.83,4.96,1
1339,"idea",503,508.94,3.20,1
1340,"ideal",496,493.57,4.36,1
1341,"idilio",584,552.12,5.76,1
1342,"idioma",489,508.23,3.15,1
1343,"ignorancia",581,547.45,5.32,1
1344,"igualdad",566,518.63,4.00,1
1345,"iguana",568,523.47,3.88,1
1346,"iluminar",522,529.98,3.72,1
1347,"ilusión",542,520.26,3.52,1
1348,"ilustrar",563,527.31,4.56,1
1349,"imagen",510,500.81,3.44,1
1350,"imaginar",508,501.20,3.32,2
1351,"imán",561,503.74,3.50,1
1352,"imitar",517,499.55,3.56,1
1353,"imprimir",503,526.91,4.72,2
1354,"impunidad",668,587.69,6.42,1
1355,"incendio",547,531.02,3.48,1
1356,"incidencia",623,565.00,5.42,1
1357,"incidente",609,578.08,5.09,1
1358,"incienso",621,561.88,5.32,1
1359,"incorporar",570,539.10,4.84,1
1360,"incremento",602,558.22,5.82,1
1361,"incurrir",590,549.32,6.00,1
1362,"índice",562,498.46,4.32,1
1363,"indio",571,505.87,2.29,3
1364,"individuo",551,524.38,4.96,1
1365,"índole",603,505.79,6.52,1
1366,"inducir",576,520.77,5.88,1
1367,"infame",653,524.35,5.96,1
1368,"infierno",541,536.54,3.50,1
1369,"infinitud",657,586.40,5.60,1
1370,"informar",513,535.76,4.20,1
1371,"ingeniería",580,559.13,5.73,1
1372,"ingenio",551,570.23,5.12,1
1373,"ingresar",559,529.51,4.40,1
1374,"iniciativa",578,552.25,4.74,1
1375,"inicio",528,515.86,2.74,1
1376,"inmensidad",629,535.78,4.92,1
1377,"inocencia",565,560.53,4.54,1
1378,"inocente",570,542.78,4.12,1
1379,"insistir",541,523.62,4.12,1
1380,"insomnio",614,571.51,6.00,1
1381,"inspector",566,547.92,4.31,1
1382,"inspirar",566,548.70,4.96,2
1383,"instalar",601,518.20,4.44,1
1384,"instante",547,538.67,4.59,1
1385,"instinto",573,542.49,4.91,1
1386,"instituto",529,561.36,4.85,1
1387,"integrar",564,532.28,5.48,1
1388,"intemperie",719,587.53,5.46,1
1389,"intención",556,550.88,4.18,1
1390,"intentar",535,519.57,3.00,2
1391,"intento",539,525.45,3.97,1
1392,"interior",521,531.78,3.48,1
1393,"interrogar",572,558.15,4.84,1
1394,"intervalo",562,551.89,5.21,1
1395,"intimidad",585,551.62,5.80,1
1396,"introducir",547,527.12,3.72,1
1397,"intuición",640,579.19,4.83,1
1398,"intuir",615,540.36,4.60,1
1399,"inventar",539,550.61,3.12,1
1400,"inventario",557,535.26,5.79,1
1401,"inventiva",567,583.25,5.43,1
1402,"investigar",509,562.66,3.92,1
1403,"ira",549,502.31,4.80,1
1404,"iris",544,495.85,4.48,1
1405,"ironía",566,508.54,5.63,1
1406,"isla",498,496.67,2.39,1
1407,"islam",612,524.71,6.00,1
1408,"itinerario",656,592.57,5.62,1
1409,"izquierda",494,545.64,2.48,1
1410,"jabalí",532,525.83,3.78,1
1411,"jabón",495,498.54,2.00,1
1412,"jamón",495,479.75,2.14,1
1413,"jardín",510,509.41,2.48,1
1414,"jarra",533,501.94,2.61,1
1415,"jaula",521,518.23,2.58,1
1416,"jauría",605,559.14,4.68,1
1417,"jazmín",587,542.98,5.08,1
1418,"jefe",507,497.65,3.04,1
1419,"jerga",616,535.25,6.18,1
1420,"jersey",534,517.80,2.44,1
1421,"jinete",596,529.61,4.38,1
1422,"jornada",563,525.60,4.65,1
1423,"joven",486,502.30,3.04,1
1424,"joya",541,508.35,3.50,1
1425,"júbilo",599,505.29,5.52,1
1426,"judío",533,506.25,4.52,1
