id,palabra,tiempo_tdl,tiempo_naming,edad_de_adquisicion_m,categoria_palabra
165,"apoteosis",682,572.49,6.34,1
166,"apoyar",540,481.45,4.04,1
167,"aprender",521,497.60,2.80,2
168,"aprovechar",544,523.57,4.12,1
169,"araña",534,473.85,1.92,1
170,"árbol",514,467.18,1.70,1
171,"arca",525,485.85,4.12,1
172,"archivo",509,496.88,4.24,1
173,"arco",531,471.48,3.22,1
174,"ardor",559,482.83,5.48,1
175,"área",509,501.98,4.67,1
176,"arena",522,486.85,2.56,1
177,"argot",661,491.40,6.63,1
178,"argumentar",583,524.91,5.28,1
179,"argumento",559,520.42,4.63,1
180,"aritmética",647,604.44,6.12,1
181,"arma",546,470.96,3.23,1
182,"armar",552,466.29,4.04,1
183,"armazón",594,536.98,5.52,1
184,"armonía",543,515.90,5.00,1
185,"aroma",547,485.11,4.04,1
186,"arquetipo",629,562.79,6.69,1
187,"arrancar",539,504.70,2.92,1
188,"arrebato",570,499.82,5.20,1
189,"arreglar",497,509.08,4.06,1
190,"arroyo",548,488.77,4.23,1
191,"arroz",501,467.80,2.16,1
192,"arruinar",576,535.09,4.64,1
193,"arte",488,475.15,4.20,1
194,"artefacto",646,586.79,5.80,1
195,"articular",546,514.08,5.00,1
196,"artículo",540,521.11,4.46,1
197,"artificio",593,553.12,5.83,1
198,"artilugio",664,570.41,5.27,1
199,"arzobispo",653,602.78,5.32,1
200,"asamblea",611,525.10,5.24,1
201,"ascender",546,530.47,4.64,1
202,"ascensor",561,517.12,2.69,1
203,"ascética",652,614.75,6.48,1
204,"asco",517,470.94,2.27,1
205,"asesor",588,537.24,5.79,1
206,"asignatura",554,516.19,3.92,1
207,"asilo",596,508.26,4.92,1
208,"asistencia",600,522.98,4.48,1
209,"asistir",562,533.58,4.40,1
210,"asma",576,466.37,4.35,1
211,"astucia",589,520.90,5.21,1
212,"asumir",520,483.08,5.08,1
213,"asunto",507,461.92,4.11,1
214,"atar",571,476.60,2.28,1
215,"atardecer",593,545.13,3.92,1
216,"ataúd",576,488.00,4.36,1
217,"atisbar",668,546.76,6.04,2
