id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,dominancia_m,dominancia_sd,word,categoria_palabra
1,"abandonado",1.68,1.00,5.88,2.21,3.11,2.03,"derelict",1
2,"abejas",3.18,1.85,6.59,2.05,3.42,2.32,"bees",1
3,"aborto",2.80,2.13,6.07,1.87,4.17,2.37,"abortion",1
4,"abrasador",2.46,1.58,6.00,2.16,4.00,2.19,"scorching",1
5,"abrazo",8.13,1.34,5.70,2.57,6.12,2.16,"hug",1
6,"abrumado",2.90,1.81,5.36,2.14,3.84,2.17,"overwhelmed",1
7,"absurdo",3.80,1.88,4.90,1.81,4.44,1.65,"absurd",1
8,"abundancia",6.80,1.75,5.40,2.21,5.68,1.80,"abundance",1
9,"aburrido",2.33,1.68,2.90,1.94,4.78,2.24,"bored",1
10,"accidente",1.32,0.82,7.58,1.83,2.62,2.29,"accident",1
11,"ácido",3.41,2.04,5.57,1.73,4.29,1.92,"sour",1
12,"acogedor",7.64,1.47,4.37,2.62,6.08,2.16,"cozy",1
13,"acontecimiento",5.99,1.69,5.81,1.99,5.01,1.65,"event",1
14,"acre",4.23,1.57,4.19,1.65,4.50,1.84,"pungent",1
15,"activar",6.00,1.41,6.50,1.95,5.82,1.73,"activate",1
16,"acuerdo",7.24,1.86,4.83,2.20,6.22,1.93,"agreement",1
17,"adicto",2.41,1.73,5.77,2.06,3.28,2.33,"addict",1
18,"admirado",7.33,1.50,6.53,1.96,5.48,2.18,"admired",1
19,"adorable",7.48,1.41,5.24,2.38,5.76,1.92,"adorable",1
20,"adulto",5.68,1.36,4.90,1.81,5.16,2.11,"adult",1
21,"afectar",3.48,1.90,5.61,2.00,3.77,1.97,"impair",1
22,"afecto",8.10,1.28,6.19,2.22,5.83,2.39,"affection",1
23,"afianzar",5.93,1.69,5.46,1.75,5.66,1.90,"secure",1
24,"afligido",1.96,1.31,4.41,2.31,3.93,2.10,"distressed",1
25,"afortunado",7.71,1.50,6.26,2.01,5.28,2.53,"lucky",1
26,"agilidad",6.73,1.59,5.97,2.06,5.82,1.88,"agility",1
27,"agobiado",2.06,1.49,6.73,2.33,3.48,2.18,"burdened",1
28,"agonía",1.74,1.10,6.20,2.38,2.94,2.25,"agony",1
29,"agradecido",7.84,1.20,5.50,2.16,5.79,1.91,"grateful",1
30,"agresión",1.67,1.22,6.88,2.02,3.72,2.42,"assault",1
31,"agresivo",1.96,1.23,6.94,1.82,3.69,2.31,"aggressive",1
32,"agua",7.47,1.59,4.80,2.60,5.72,2.11,"water",1
33,"aguanieve",5.11,1.97,4.79,1.97,4.21,1.97,"slush",1
34,"aguja",3.18,1.74,5.66,2.23,4.43,2.14,"needle",1
35,"ahorrar",6.40,1.85,4.94,1.93,6.09,2.35,"save",1
36,"aire",6.83,2.14,4.19,2.43,4.60,2.64,"air",1
37,"alba",7.48,1.54,4.18,2.69,4.46,2.75,"dawn",1
38,"alcohólico",2.01,1.58,5.70,2.31,3.51,2.52,"alcoholic",1
39,"alegre",8.41,0.97,7.66,1.65,6.37,2.17,"merry",1
40,"alergia",4.01,2.92,5.84,2.11,4.11,2.31,"allergy",1
41,"alerta",3.69,1.69,7.58,1.58,4.17,2.39,"alert",1
42,"almohada",6.79,2.04,3.10,2.13,6.29,2.35,"pillow",1
43,"amabilidad",8.22,0.86,5.26,2.29,6.24,1.74,"kindness",1
44,"amable",7.81,1.20,4.92,2.34,6.22,2.11,"kind",1
45,"amado",7.99,1.46,6.43,2.67,5.79,2.35,"loved",1
46,"amanecer",8.01,1.03,4.08,2.64,4.50,2.86,"sunrise",1
47,"amarillo",5.67,1.77,4.84,2.16,5.17,1.67,"yellow",1
48,"ambición",5.01,1.99,6.42,1.66,5.60,2.16,"ambition",1
49,"ambulancia",2.34,1.68,7.44,1.48,3.58,2.24,"ambulance",1
50,"amenaza",1.99,1.49,7.10,1.80,2.86,1.88,"menace",1
51,"amigable",8.14,0.89,5.08,2.48,6.24,1.98,"friendly",1
52,"amigo",8.41,1.07,6.73,2.31,6.04,2.04,"friend",1
53,"amor",8.50,1.30,7.46,2.40,4.86,2.87,"love",1
54,"ampolla",2.54,1.55,4.99,1.89,4.33,2.02,"blister",1
55,"ángel",6.87,1.88,4.86,1.99,4.49,2.34,"angel",1
56,"angustiado",1.67,1.08,5.89,2.61,3.33,2.13,"anguished",1
57,"anhelo",4.42,2.30,5.27,2.15,4.39,2.02,"desire",1
58,"ánimo",7.36,1.81,6.72,1.82,6.19,2.18,"cheer",1
