id,palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabradecimal
1030,"gorila","gorilla",2.50,1.25,1.37,0.89,1.30,0.60,2.83,1.26,1.30,0.70,1
1031,"gorra","cap",1.77,1.07,1.00,0.00,1.00,0.00,1.00,0.00,1.10,0.31,1
1032,"gorrión","sparrow",3.10,1.24,1.20,0.55,1.23,0.57,1.47,0.78,1.17,0.46,1
1033,"gorro","hat",2.17,1.39,1.23,0.73,1.17,0.46,1.17,0.53,1.27,0.74,1
1034,"gota","drop",1.63,1.16,1.37,0.76,1.70,1.21,1.20,0.48,1.30,0.75,1
1035,"gozar","enjoy",4.30,1.02,1.57,0.94,1.40,0.86,1.47,0.68,1.37,0.85,1
1036,"grado","degree",2.20,1.16,1.40,0.77,1.40,0.86,1.90,1.03,1.40,0.77,1
1037,"graduada","graduate",4.93,0.25,1.00,0.00,1.10,0.31,1.60,0.89,1.00,0.00,1
1038,"graduado","graduate",4.67,0.66,1.07,0.25,1.63,1.10,2.27,1.41,1.03,0.18,3
1039,"granada","grenade",1.69,1.34,2.59,1.55,2.72,1.58,3.17,1.69,1.79,1.32,1
1040,"granja","farm",2.67,1.45,1.20,0.66,1.30,0.84,1.23,0.57,1.73,0.94,1
1041,"granjero","farmer",2.20,1.16,1.07,0.25,1.23,0.63,1.07,0.25,1.37,0.72,1
1042,"grano","grain",1.07,0.25,2.00,1.29,1.93,1.08,1.70,1.12,3.13,1.38,1
1043,"grapadora","stapler",1.13,0.43,1.00,0.00,1.03,0.18,1.20,0.41,1.00,0.00,1
1044,"grave","severe",1.10,0.31,2.80,1.16,4.00,0.98,4.13,0.97,1.63,0.85,1
1045,"grieta","crack",1.07,0.25,1.80,1.00,1.90,1.09,2.63,1.45,1.53,0.90,1
1046,"grillo","cricket",2.03,1.10,1.20,0.55,1.20,0.55,1.50,0.78,2.23,1.14,1
1047,"grito","scream",2.17,1.56,2.97,1.52,2.27,1.46,3.37,1.43,1.50,1.14,1
1048,"grosero","crude",1.10,0.31,3.40,1.04,2.30,1.34,2.10,1.27,3.30,1.44,1
1049,"guadaña","scythe",1.16,0.55,1.56,0.87,2.04,1.40,3.20,1.26,1.44,0.87,1
1050,"guante","glove",1.87,1.17,1.13,0.51,1.23,0.73,1.20,0.61,1.37,0.89,1
1051,"guantes","gloves",2.00,1.08,1.10,0.40,1.13,0.35,1.07,0.25,1.43,0.97,1
1052,"guapa","pretty",4.00,1.02,1.17,0.53,1.17,0.46,1.20,0.48,1.13,0.35,1
1053,"guapo","handsome",3.77,1.17,1.17,0.46,1.13,0.43,1.27,0.64,1.07,0.25,3
1054,"guardaespaldas","bodyguard",1.27,0.91,1.60,1.04,1.43,0.97,2.17,1.15,1.27,0.74,1
1055,"guardería","nursery",3.53,1.41,1.13,0.51,1.27,0.69,1.30,0.70,1.17,0.46,1
1056,"guardia","guard",1.57,1.14,1.80,1.24,1.37,0.72,1.87,0.78,1.67,1.09,1
1057,"guardián","guardian",2.27,1.28,1.40,0.77,1.27,0.74,1.73,1.05,1.13,0.43,1
1058,"guerra","war",1.13,0.43,4.37,0.93,4.43,0.68,4.37,0.85,3.03,1.69,1
1059,"guerrero","warrior",2.00,1.44,2.90,1.56,2.20,1.24,2.83,1.29,1.70,1.26,3
1060,"guillotina","guillotine",1.10,0.41,3.45,1.38,3.66,1.23,4.14,1.06,2.66,1.54,1
1061,"guiño","wink",3.20,1.30,1.27,0.64,1.13,0.51,1.17,0.46,1.40,0.67,1
1062,"guión","script",2.87,1.36,1.50,0.94,1.47,0.86,1.73,1.01,1.13,0.35,1
1063,"gusano","maggot",1.40,0.77,1.53,0.78,1.50,1.04,2.33,1.32,3.80,1.21,1
1064,"habilidad","skill",3.47,1.41,1.27,0.69,1.33,0.76,1.57,0.94,1.07,0.25,1
