id,palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabradecimal
1218,"inyección","injection",1.10,0.31,1.47,0.86,1.90,1.12,3.10,1.32,2.23,1.33,1
1219,"irritación","irritation",1.00,0.00,3.00,1.41,2.07,1.11,2.03,0.96,2.20,1.21,1
1220,"irritar","irritate",1.00,0.00,3.77,1.19,2.47,1.22,1.87,0.97,2.30,1.29,2
1221,"jabalí","wild boar",1.47,0.73,1.43,0.68,1.43,0.82,3.37,1.10,1.83,0.95,1
1222,"jaqueca","headache",1.03,0.18,2.63,1.30,2.73,1.39,2.60,1.33,1.90,1.42,1
1223,"jardín","garden",3.40,1.43,1.07,0.37,1.17,0.59,1.03,0.18,1.03,0.18,1
1224,"jardinero","gardener",1.77,1.25,1.07,0.37,1.07,0.25,1.03,0.18,1.03,0.18,1
1225,"jarra","jug",1.67,1.06,1.07,0.37,1.23,0.63,1.10,0.40,1.17,0.53,1
1226,"jefe","boss",1.47,0.86,2.23,1.17,1.43,0.77,2.07,1.01,1.77,1.10,1
1227,"jerarquía","hierarchy",1.47,0.73,2.80,1.40,2.43,1.38,2.10,1.24,2.83,1.51,1
1228,"jeringa","syringe",1.17,0.53,1.37,0.72,1.53,1.01,2.77,1.50,2.63,1.22,1
1229,"jersey","jersey",2.47,1.14,1.07,0.25,1.23,0.63,1.03,0.18,1.20,0.48,1
1230,"jirafa","giraffe",3.37,1.16,1.07,0.25,1.27,0.58,2.03,1.13,1.03,0.18,1
1231,"jornalera","laborer",1.46,0.88,1.43,1.00,1.39,0.79,1.18,0.39,1.21,0.79,1
1232,"joven","young",3.80,1.16,1.23,0.50,1.17,0.46,1.57,1.07,1.03,0.18,1
1233,"jovial","jolly",3.93,1.19,1.07,0.37,1.07,0.37,1.07,0.37,1.07,0.37,1
1234,"joya","jewel",3.20,1.37,1.17,0.53,1.13,0.43,1.17,0.46,1.13,0.43,1
1235,"jubilado","retired",2.33,1.09,1.10,0.40,2.03,1.25,1.17,0.46,1.10,0.40,1
1236,"júbilo","joy",4.20,1.19,1.20,0.66,1.27,0.83,1.33,0.76,1.00,0.00,1
1237,"jubiloso","joyful",3.36,1.47,1.21,0.57,1.29,0.76,1.21,0.57,1.14,0.45,1
1238,"juego","game",3.93,1.08,1.30,0.65,1.27,0.64,1.37,0.56,1.03,0.18,1
1239,"juez","judge",1.63,1.10,1.43,0.73,1.10,0.40,1.77,1.04,1.13,0.43,1
1240,"jugo","juice",2.33,1.30,1.07,0.37,1.13,0.43,1.07,0.25,1.77,0.97,1
1241,"juguete","toy",3.90,1.09,1.13,0.43,1.33,0.61,1.37,0.85,1.00,0.00,1
1242,"justicia","justice",3.63,1.33,2.27,1.28,2.17,1.26,2.17,1.23,2.13,1.38,1
1243,"juventud","youth",3.83,0.95,1.50,1.11,1.57,1.17,1.60,1.19,1.03,0.18,1
1244,"ketchup","ketchup",2.10,1.37,1.00,0.00,1.00,0.00,1.07,0.37,1.37,0.81,1
1245,"koala","koala",3.37,1.27,1.10,0.40,1.37,0.76,1.60,0.93,1.17,0.59,1
1246,"laberinto","maze",1.33,0.66,2.23,1.25,1.80,1.10,3.07,1.31,1.33,0.84,1
1247,"laboratorio","laboratory",1.97,0.93,1.30,0.75,1.37,0.76,1.67,0.84,1.63,0.93,1
1248,"lado","side",1.37,0.96,1.33,0.88,1.57,1.14,1.37,0.85,1.33,0.88,1
1249,"ladrillo","brick",1.10,0.40,1.30,0.70,1.03,0.18,1.57,1.01,1.03,0.18,1
1250,"ladrón","thief",1.23,0.82,3.70,1.21,2.53,1.28,3.87,1.01,2.60,1.45,1
1251,"ladrona","thief",1.10,0.40,3.57,1.19,2.87,1.20,3.30,1.37,2.37,1.35,1
1252,"lagartija","lizard",1.80,1.03,1.43,0.77,1.33,0.76,2.00,1.23,2.60,1.50,1
1253,"lagarto","lizard",1.60,0.81,1.07,0.25,1.00,0.00,1.60,0.93,2.20,1.47,1
1254,"lago","lake",3.40,1.19,1.00,0.00,1.27,0.58,1.60,0.81,1.17,0.59,1
1255,"lágrima","tear",1.97,1.52,2.50,1.55,4.07,1.08,2.07,1.17,1.13,0.57,1
1256,"lamento","regret",1.27,0.78,2.03,1.19,4.10,1.12,2.67,1.27,1.60,0.93,1
1257,"lámpara","lamp",2.13,1.38,1.03,0.18,1.10,0.31,1.13,0.57,1.03,0.18,1
1258,"lancha","boat",2.83,1.32,1.17,0.46,1.10,0.40,1.73,1.05,1.10,0.40,1
1259,"lánguido","listless",1.12,0.33,1.24,0.66,2.60,1.29,1.56,0.87,1.56,0.87,3
1260,"lanza","lance",1.53,1.28,2.47,1.59,1.60,1.07,2.40,1.28,1.20,0.55,1
1261,"lástima","pity",1.03,0.18,2.20,1.35,4.33,0.96,2.20,1.45,1.93,1.20,1
1262,"lata","can",1.60,0.86,1.30,0.75,1.13,0.43,1.30,0.88,1.50,1.04,1
1263,"latido","beat",3.50,1.07,1.27,0.74,1.57,1.04,1.97,1.13,1.17,0.75,1
1264,"látigo","whip",1.40,0.97,2.63,1.65,1.83,1.26,2.80,1.58,1.63,0.96,1
1265,"lavabo","bathroom",1.67,1.18,1.07,0.25,1.10,0.31,1.17,0.38,2.00,1.11,1
1266,"leal","loyal",3.83,1.23,1.20,0.55,1.20,0.76,1.37,0.81,1.07,0.25,1
1267,"leche","milk",2.13,1.25,1.07,0.37,1.13,0.51,1.13,0.43,1.47,0.90,1
1268,"lechera","milkmaid",2.31,1.20,1.21,0.49,1.41,0.95,1.17,0.60,1.52,0.91,1
1269,"lechero","milkman",1.97,1.25,1.10,0.55,1.20,0.66,1.03,0.18,1.37,0.81,3
1270,"lechuza","owl",2.37,1.35,1.07,0.25,1.30,0.60,2.00,0.87,1.57,0.97,1
1271,"legalidad","legality",2.43,1.50,1.83,1.05,1.53,0.97,1.77,1.10,1.87,1.31,1
1272,"lejos","away",1.90,1.16,2.37,1.25,3.70,1.21,3.17,1.32,1.60,1.10,1
1273,"lentilla","contact lens",2.00,1.60,1.30,0.84,1.47,1.01,1.77,1.22,1.77,1.22,1
1274,"lento","slow",1.30,0.53,2.20,1.24,2.00,1.14,1.70,1.06,1.63,1.07,3
1275,"leñador","woodcutter",1.57,0.94,1.13,0.43,1.07,0.37,1.27,0.58,1.07,0.37,1
1276,"león","lion",2.83,1.26,1.93,1.23,1.17,0.46,3.13,1.11,1.03,0.18,1
1277,"leopardo","leopard",2.47,1.46,1.30,0.88,1.27,0.64,3.67,1.15,1.10,0.40,1
1278,"lepra","leprosy",1.00,0.00,2.24,1.53,3.31,1.51,3.21,1.70,3.41,1.43,1
1279,"lesbiana","lesbian",1.87,1.14,1.13,0.43,1.10,0.55,1.03,0.18,1.20,0.61,1
1280,"lesión","injury",1.00,0.00,2.23,1.33,3.33,1.09,2.80,1.40,1.50,1.01,1
1281,"letra","letter",3.00,1.51,1.33,0.76,1.67,0.88,1.53,0.94,1.23,0.68,1
1282,"leyenda","legend",2.47,1.25,1.30,0.70,1.67,1.06,2.00,1.29,1.37,0.76,1
1283,"libélula","dragonfly",1.90,1.12,1.23,0.57,1.23,0.57,1.80,1.06,2.17,1.21,1
1284,"liberación","liberty",4.27,1.05,1.37,0.76,1.40,0.89,1.67,1.06,1.00,0.00,1
1285,"liberar","release",4.13,0.86,1.37,0.81,1.43,0.77,1.73,0.98,1.17,0.53,1
1286,"libertad","freedom",4.63,0.67,1.43,1.01,1.30,1.02,1.83,1.21,1.17,0.75,1
1287,"libre","free",4.43,1.07,1.10,0.40,1.20,0.61,1.73,0.94,1.03,0.18,1
1288,"librería","bookshop",3.27,1.44,1.13,0.43,1.27,0.74,1.20,0.66,1.07,0.37,1
1289,"libreta","book",1.73,1.05,1.03,0.18,1.00,0.00,1.03,0.18,1.00,0.00,1
1290,"libro","book",3.43,1.14,1.33,0.66,1.67,0.92,1.53,0.94,1.23,0.63,1
1291,"licenciada","degree",3.73,1.41,1.00,0.00,1.20,0.48,1.33,0.61,1.00,0.00,1
1292,"licenciado","grass",4.10,1.21,1.27,0.83,1.37,0.96,1.57,1.14,1.03,0.18,3
1293,"líder","leader",2.23,1.25,1.80,1.19,1.47,0.86,1.90,1.03,1.37,0.81,1
1294,"liebre","hare",2.40,1.07,1.17,0.46,1.10,0.31,1.43,0.86,1.30,0.65,1
1295,"liga","garter",1.77,1.07,1.40,1.00,1.20,0.55,1.17,0.59,1.13,0.35,1
1296,"lija","sanding",1.00,0.00,1.27,0.91,1.10,0.31,1.17,0.38,1.10,0.31,1
1297,"lima","lime",2.03,1.15,1.41,0.91,1.38,0.94,1.31,0.93,1.62,1.18,1
1298,"limón","lemon",2.10,1.06,1.03,0.18,1.13,0.35,1.07,0.25,1.33,0.66,1
1299,"limpiador","cleaner",1.90,1.18,1.00,0.00,1.43,0.68,1.00,0.00,1.10,0.31,1
1300,"lince","lynx",2.57,1.43,1.17,0.53,1.77,1.10,2.30,1.21,1.20,0.55,1
1301,"linterna","lantern",1.80,1.16,1.13,0.35,1.10,0.31,1.43,0.73,1.03,0.18,1
1302,"lío","mess",1.80,1.21,1.87,0.90,1.77,1.10,2.23,1.22,1.50,1.07,1
1303,"lira","lira",2.25,1.42,1.08,0.28,1.71,1.08,1.13,0.45,1.08,0.28,1
1304,"liso","smooth",1.97,1.33,1.13,0.43,1.17,0.53,1.07,0.37,1.17,0.65,3
1305,"lista","list",2.73,1.41,1.87,1.38,1.53,0.94,1.77,1.25,1.70,1.21,1
1306,"litro","quart",1.67,1.27,1.17,0.65,1.20,0.66,1.20,0.66,1.27,0.83,1
1307,"llama","flame",2.23,1.41,1.67,1.09,1.80,1.37,2.67,1.56,1.30,0.79,1
1308,"llamada","call",3.07,1.20,1.17,0.46,1.60,0.97,2.03,1.16,1.03,0.18,1
1309,"llano","plain",1.60,1.07,1.23,0.68,1.30,0.79,1.13,0.35,1.17,0.59,3
1310,"llave","key",2.17,1.32,1.23,0.50,1.30,0.75,1.50,0.86,1.03,0.18,1
1311,"lloriqueo","blubber",1.30,0.75,2.53,1.59,3.57,1.17,2.13,1.57,1.47,0.97,1
1312,"llovizna","drizzle",2.24,1.24,1.38,0.78,2.45,1.15,1.38,0.73,1.17,0.47,1
1313,"lluvia","rain",2.10,1.32,1.27,0.64,2.67,1.40,1.43,0.86,1.23,0.68,1
1314,"lobo","wolf",2.10,1.32,1.70,1.15,1.50,0.97,3.83,1.12,1.43,0.90,1
1315,"lóbrego","dreary",1.06,0.25,1.13,0.50,2.75,1.29,2.63,1.54,1.44,0.81,3
1316,"loca","crazy",1.70,1.06,2.13,1.22,2.50,1.07,2.83,1.21,1.57,0.90,1
1317,"local","local",2.13,1.28,1.40,0.72,1.33,0.71,1.70,1.02,1.30,0.60,1
1318,"loco","mad",1.50,1.07,1.93,1.28,2.60,1.40,2.87,1.57,1.30,0.65,3
1319,"logro","achievement",4.53,0.78,1.33,0.55,1.17,0.46,1.97,1.16,1.07,0.25,1
1320,"lombriz","worm",1.17,0.53,1.40,1.07,1.27,0.74,1.63,0.93,3.70,1.26,1
1321,"loro","parrot",3.30,1.32,1.07,0.37,1.13,0.43,1.53,0.78,1.13,0.43,1
1322,"lotería","lottery",3.90,1.12,1.40,0.72,1.60,1.13,1.37,0.72,1.30,0.70,1
1323,"lucha","fight",1.80,1.27,3.37,1.16,2.33,1.49,2.67,1.21,1.47,1.01,1
1324,"luchador","fighter",2.27,1.23,1.97,1.30,1.47,0.82,1.90,1.12,1.27,0.58,1
1325,"luciérnaga","firefly",2.40,1.10,1.13,0.43,1.27,0.64,1.57,0.94,1.67,0.66,1
1326,"ludópata","compulsive gambler",1.41,0.98,2.03,1.40,2.45,1.40,2.17,1.26,1.79,1.26,1
1327,"lugar","place",2.33,1.12,1.20,0.55,1.70,0.88,1.60,0.86,1.30,0.60,1
1328,"lujo","luxury",3.53,1.14,1.43,0.68,1.27,0.58,1.23,0.50,1.37,0.72,1
1329,"lujuria","lust",2.63,1.25,1.60,1.04,1.20,0.55,1.50,0.86,1.50,0.78,1
1330,"lunar","mole",1.66,1.17,1.10,0.41,1.10,0.41,1.28,0.59,1.31,0.54,1
1331,"machete","machete",1.17,0.46,2.23,1.17,1.73,1.05,3.43,1.10,1.70,1.09,1
1332,"machista","sexist",1.17,0.46,4.07,1.20,3.17,1.58,2.53,1.43,3.80,1.58,1
1333,"madrastra","stepmother",1.63,0.85,2.40,1.52,2.77,1.43,2.33,1.21,2.03,1.47,1
1334,"maduración","maturation",2.97,1.27,1.23,0.63,1.87,1.11,1.77,0.97,1.50,0.86,1
1335,"maestra","teacher",3.13,1.22,1.67,1.12,1.50,0.97,1.93,1.14,1.37,0.89,1
1336,"maestro","teacher",2.57,1.07,1.30,0.65,1.30,0.70,1.47,0.78,1.13,0.43,3
1337,"mafioso","mafioso",1.17,0.46,2.80,1.40,1.93,1.31,3.40,1.25,2.60,1.54,1
1338,"magdalena","muffin",2.70,1.42,1.03,0.18,1.23,0.68,1.13,0.51,1.13,0.43,1
1339,"mágico","magical",3.70,1.02,1.13,0.43,1.17,0.65,1.83,1.23,1.07,0.25,3
1340,"magistral","masterful",1.93,1.14,1.13,0.43,1.20,0.55,1.17,0.53,1.17,0.46,1
1341,"mago","magician",3.33,0.99,1.17,0.53,1.13,0.51,1.40,0.77,1.10,0.40,1
1342,"maíz","corn",2.23,1.36,1.23,0.77,1.30,0.79,1.23,0.73,1.50,0.97,1
1343,"malabarista","juggler",2.93,1.17,1.17,0.65,1.27,0.69,1.50,0.82,1.07,0.37,1
1344,"malaria","malaria",1.00,0.00,2.79,1.32,4.24,1.12,4.10,1.18,2.38,1.52,1
1345,"maldad","evil",1.13,0.35,3.80,1.37,3.23,1.36,3.43,1.55,3.07,1.53,1
1346,"maldición","curse",1.00,0.00,3.23,1.30,2.97,1.52,3.80,1.40,1.93,1.55,1
1347,"maldito","damn",1.03,0.18,2.53,1.31,2.20,1.24,3.10,1.32,1.63,0.93,3
1348,"maleducado","rude",1.00,0.00,3.53,1.07,2.37,1.35,1.43,0.73,2.70,1.51,1
1349,"maleficio","hex",1.30,0.84,2.13,1.31,1.97,1.13,2.80,1.56,1.70,1.09,1
1350,"maleta","suitcase",3.20,1.49,1.23,0.57,2.00,1.11,1.80,1.03,1.17,0.46,1
1351,"maletero","trunk",1.31,0.76,1.07,0.26,1.14,0.44,1.34,0.81,1.24,0.69,1
1352,"malicia","malice",1.03,0.18,3.60,1.33,3.17,1.51,3.43,1.17,2.77,1.50,1
1353,"maltrato","abuse",1.00,0.00,4.53,0.82,4.33,1.03,3.87,1.36,3.87,1.33,1
1354,"malvado","wicked",1.03,0.18,3.27,1.60,2.50,1.48,3.23,1.52,2.23,1.38,1
1355,"manejo","handling",1.93,1.12,1.46,1.10,1.46,1.04,1.54,0.92,1.32,0.90,1
1356,"manera","manner",1.40,0.86,1.10,0.40,1.13,0.51,1.10,0.40,1.10,0.40,1
1357,"manga","manga",1.73,1.05,1.13,0.51,1.23,0.63,1.20,0.61,1.37,0.76,1
1358,"mango","mango",3.21,1.66,1.10,0.41,1.14,0.44,1.10,0.31,1.48,0.91,1
1359,"manguera","hydrant",1.80,1.10,1.27,0.64,1.30,0.65,1.30,0.65,1.33,0.66,1
1360,"maníaco","maniac",1.10,0.40,2.03,1.43,2.27,1.31,2.80,1.24,1.27,0.83,1
1361,"manicomio","madhouse",1.20,0.55,2.23,1.25,3.63,1.13,3.67,1.12,2.07,1.28,1
1362,"maniquí","dummy",1.23,0.50,1.23,0.63,1.27,0.74,1.63,1.00,1.20,0.66,1
1363,"mano","hand",2.37,1.35,1.23,0.50,1.23,0.77,1.40,0.72,1.27,0.69,1
1364,"manosear","tamper",1.40,0.81,2.20,1.24,1.60,1.10,2.10,1.18,3.23,1.28,1
1365,"manso","meek",1.72,0.92,1.14,0.44,1.55,0.83,1.28,0.70,1.21,0.49,1
1366,"manta","blanket",3.27,1.26,1.20,0.66,1.67,0.92,1.20,0.66,1.20,0.55,1
1367,"mantel","tablecloth",1.60,0.93,1.17,0.46,1.23,0.57,1.03,0.18,1.33,0.66,1
1368,"mantequilla","butter",2.10,1.18,1.00,0.00,1.00,0.00,1.07,0.25,1.30,0.60,1
1369,"manto","mantle",1.88,1.07,1.27,0.60,1.50,0.99,1.42,0.76,1.31,0.79,1
1370,"manual","manual",1.97,1.22,1.37,0.67,1.40,0.72,1.23,0.50,1.33,0.66,1
1371,"manuscrito","manuscript",1.87,1.07,1.20,0.61,1.30,0.60,1.33,0.76,1.20,0.61,1
1372,"manzana","apple",2.80,1.37,1.07,0.25,1.03,0.18,1.10,0.40,1.17,0.46,1
1373,"mapache","raccoon",2.50,1.25,1.10,0.31,1.07,0.25,2.33,1.24,1.63,0.96,1
1374,"maquillaje","make up",2.90,1.40,1.20,0.55,1.30,0.65,1.50,0.86,1.47,0.94,1
1375,"máquina","machine",1.30,0.65,1.13,0.57,1.17,0.46,1.30,0.79,1.20,0.76,1
1376,"maquinilla","razor",1.13,0.51,1.13,0.51,1.07,0.37,1.37,0.93,1.13,0.43,1
1377,"maravilla","wonder",4.24,0.95,1.10,0.41,1.14,0.58,1.17,0.54,1.10,0.41,1
1378,"marca","brand",1.70,1.09,1.37,0.85,1.30,0.65,1.20,0.55,1.50,1.07,1
1379,"marco","frame",1.70,0.92,1.23,0.50,1.40,0.72,1.27,0.52,1.20,0.48,1
1380,"mareado","seasick",1.03,0.18,1.30,0.70,2.20,1.30,2.40,1.35,2.37,1.35,1
1381,"margen","margin",1.17,0.46,1.27,0.64,1.27,0.69,1.30,0.75,1.13,0.43,1
1382,"marido","husband",3.03,1.22,1.57,0.86,1.77,1.04,1.97,0.93,1.30,0.75,1
1383,"mariposa","butterfly",3.23,1.25,1.17,0.53,1.33,0.80,1.33,0.61,1.77,1.28,1
1384,"mariquita","sissy",3.07,1.28,1.23,0.57,1.27,0.69,1.33,0.66,1.30,0.60,1
1385,"marqués","marquis",1.57,0.82,2.43,1.52,1.80,1.32,1.60,1.19,2.43,1.63,1
1386,"martillo","hammer",1.27,0.74,1.53,0.97,1.20,0.61,1.70,1.06,1.07,0.37,1
1387,"mártir","martyr",1.10,0.41,2.45,1.53,3.55,1.12,1.97,1.21,1.34,0.77,1
1388,"masacre","massacre",1.00,0.00,4.23,1.17,4.67,0.48,4.40,0.93,3.67,1.47,1
1389,"masajista","massage",3.80,1.32,1.10,0.31,1.03,0.18,1.40,0.86,1.33,0.84,1
1390,"máscara","mask",2.17,1.12,1.97,1.25,2.17,1.26,2.30,1.26,1.73,1.01,1
1391,"mascota","pet",3.87,1.57,1.07,0.25,1.70,1.21,1.37,0.85,1.13,0.35,1
1392,"masturbación","masturbation",3.33,1.37,1.30,1.02,1.23,0.82,1.30,1.02,1.70,1.12,1
1393,"masturbarse","masturbate",3.10,1.45,1.20,0.76,1.13,0.43,1.17,0.46,1.43,0.63,1
1394,"matanza","slaughter",1.07,0.25,3.80,1.32,3.70,1.44,3.77,1.38,3.73,1.46,1
1395,"mate","matt",2.00,1.41,1.13,0.57,1.30,0.75,1.33,0.80,1.37,1.00,1
1396,"matemático","mathematician",1.60,0.97,1.17,0.59,1.30,0.70,1.23,0.50,1.13,0.35,3
1397,"materia","matter",1.47,1.01,1.37,0.93,1.37,0.81,1.57,1.14,1.50,1.07,1
1398,"material","material",1.53,0.94,1.27,0.64,1.30,0.70,1.30,0.75,1.30,0.75,1
1399,"maternidad","motherhood",3.93,1.34,1.17,0.46,1.33,0.80,2.50,1.36,1.27,0.58,1
1400,"matrimonio","marriage",3.47,1.28,1.67,1.03,1.87,1.07,2.80,1.37,1.27,0.83,1
1401,"mayordomo","butler",1.70,0.84,1.43,1.01,1.97,1.13,1.03,0.18,1.10,0.40,1
1402,"mecánica","mechanics",1.43,0.77,1.43,0.90,1.47,1.11,1.70,1.15,1.50,0.90,1
1403,"mecanismo","mechanism",1.53,0.94,1.57,0.97,1.37,0.85,1.53,0.82,1.33,0.66,1
1404,"mecedora","rocker",2.13,1.55,1.07,0.37,1.73,1.01,1.17,0.53,1.07,0.37,1
1405,"mechero","lighter",1.57,1.19,1.47,0.97,1.37,0.76,2.10,1.21,1.40,0.86,1
1406,"mechón","tuft",1.63,1.10,1.10,0.55,1.00,0.00,1.00,0.00,1.23,0.43,1
1407,"media","average",1.57,0.86,1.40,0.77,1.53,0.78,1.53,0.97,1.30,0.60,1
1408,"medicina","medicine",2.27,1.34,1.33,0.80,1.77,1.17,1.90,1.09,1.67,0.96,1
1409,"médico","doctor",1.77,1.07,1.57,0.97,2.03,1.25,2.77,1.28,1.57,1.10,3
1410,"medusa","jellyfish",1.40,0.72,1.80,1.35,1.47,0.78,3.67,1.27,3.03,1.38,1
1411,"mejillón","mussel",1.80,1.16,1.00,0.00,1.10,0.40,1.00,0.00,1.73,0.83,1
1412,"mejorar","improve",4.30,0.88,1.17,0.38,1.20,0.48,2.03,1.33,1.13,0.35,1
1413,"melena","mane",3.17,1.51,1.13,0.43,1.17,0.46,1.03,0.18,1.07,0.25,1
1414,"melodía","melody",3.90,1.18,1.59,1.12,2.66,1.52,1.52,0.99,1.21,0.62,1
1415,"memoria","memory",3.07,1.36,1.63,1.03,2.27,1.34,2.10,1.27,1.23,0.68,1
1416,"mendigo","beggar",1.10,0.31,1.80,1.30,4.20,0.76,2.03,1.16,1.73,0.94,1
1417,"menosprecio","contempt",1.00,0.00,3.27,1.26,3.20,1.54,2.10,1.32,2.63,1.35,1
1418,"mensaje","message",2.80,1.45,1.27,0.58,1.60,0.97,1.73,0.78,1.23,0.68,1
1419,"mensajero","messenger",2.47,1.14,1.27,0.64,1.53,0.78,1.37,0.61,1.17,0.53,1
1420,"menstruación","menstruation",2.07,1.41,2.21,1.35,2.21,1.32,1.24,0.58,2.83,1.31,1
1421,"mente","mind",3.10,1.52,1.57,0.97,1.60,1.07,2.23,1.33,1.27,0.83,1
1422,"mentira","lie",1.20,0.48,3.73,1.08,3.60,1.40,2.30,1.21,2.80,1.54,1
1423,"mentón","chin",1.33,0.71,1.27,0.69,1.27,0.69,1.20,0.61,1.27,0.69,1
1424,"mercader","merchant",1.43,0.73,1.17,0.53,1.03,0.18,1.03,0.18,1.03,0.18,1
1425,"mercado","market",2.67,1.18,1.47,0.97,1.10,0.40,1.37,0.81,1.40,0.72,1
1426,"mercenario","mercenary",1.03,0.19,2.31,1.37,1.62,1.15,2.52,1.53,1.86,1.41,1
1427,"mérito","merit",4.77,0.57,1.10,0.55,1.17,0.53,1.47,0.82,1.10,0.55,1
1428,"mermelada","jelly",2.87,1.59,1.07,0.25,1.03,0.18,1.03,0.18,1.43,0.90,1
1429,"mero","mere",1.35,0.75,1.12,0.43,1.19,0.49,1.19,0.63,1.69,1.12,3
1430,"mes","month",1.33,0.66,1.10,0.40,1.13,0.43,1.13,0.43,1.10,0.40,1
1431,"mesa","table",1.83,1.12,1.23,0.73,1.20,0.61,1.17,0.53,1.20,0.55,1
1432,"metal","metal",1.37,0.72,1.57,0.97,1.27,0.69,1.70,1.06,1.27,0.74,1
1433,"método","method",1.70,0.95,1.17,0.46,1.30,0.70,1.37,0.72,1.27,0.58,1
1434,"mezquita","mosque",1.50,0.90,1.70,0.99,1.57,0.90,1.80,0.89,1.70,1.02,1
1435,"micrófono","microphone",2.10,1.09,1.00,0.00,1.17,0.53,1.43,0.73,1.00,0.00,1
1436,"microscopio","microscope",2.03,1.27,1.03,0.18,1.00,0.00,1.17,0.53,1.13,0.35,1
1437,"miedo","fear",1.07,0.25,1.97,1.07,2.40,1.16,4.10,1.21,1.50,0.73,1
1438,"miedoso","afraid",1.23,0.77,1.83,1.18,2.47,1.25,2.70,1.76,1.53,1.25,1
1439,"miel","honey",2.93,1.46,1.00,0.00,1.03,0.18,1.03,0.18,1.37,0.61,1
1440,"miembro","member",1.67,0.99,1.10,0.31,1.13,0.35,1.10,0.31,1.23,0.57,1
1441,"milagro","miracle",3.57,1.01,1.23,0.57,1.27,0.58,1.83,1.09,1.27,0.58,1
1442,"militar","military",1.67,0.76,1.77,0.94,1.77,0.94,2.40,1.19,1.33,0.61,1
1443,"millonaria","millionaire",3.00,1.53,2.40,1.30,1.93,1.17,1.70,1.09,2.40,1.48,1
1444,"millonario","millionaire",3.50,1.36,1.87,1.14,1.63,1.03,1.53,0.90,1.90,1.30,3
1445,"mimo","mime",3.47,1.48,1.17,0.59,1.43,0.77,1.63,1.00,1.23,0.57,1
1446,"mina","mine",1.31,0.66,1.97,1.40,2.41,1.45,2.93,1.49,1.79,1.21,1
1447,"minifalda","miniskirt",2.70,1.26,1.30,0.65,1.23,0.77,1.27,0.69,1.37,0.81,1
1448,"ministra","minister",1.37,0.49,2.60,1.28,2.00,1.11,1.90,1.09,2.23,1.36,1
1449,"ministro","minister",1.00,0.00,3.27,1.55,2.27,1.64,1.63,1.25,2.80,1.58,1
1450,"miseria","misery",1.07,0.25,2.80,1.49,4.20,1.10,3.07,1.44,1.77,1.10,1
1451,"misil","missile",1.13,0.43,3.97,1.22,4.10,1.24,4.53,0.86,3.40,1.59,1
1452,"misionero","missionary",2.60,1.45,1.10,0.40,1.53,0.94,1.17,0.53,1.07,0.37,3
1453,"misterio","mystery",2.37,1.25,1.67,0.92,1.77,1.14,3.33,0.99,1.43,0.97,1
1454,"místico","mystic",2.43,1.30,1.13,0.43,1.30,0.60,2.47,1.14,1.27,0.58,3
1455,"mochila","backpack",2.03,1.35,1.17,0.53,1.33,0.84,1.10,0.40,1.10,0.40,1
1456,"moco","mucus",1.30,0.84,1.37,0.89,1.30,0.88,1.20,0.61,3.93,0.94,1
1457,"modesto","modest",2.70,1.26,1.10,0.40,1.27,0.58,1.20,0.55,1.13,0.43,3
1458,"modista","dressmaker",2.83,1.39,1.33,0.88,1.43,0.94,1.37,0.67,1.33,0.80,1
1459,"mofeta","skunk",1.53,1.01,1.57,1.17,1.37,0.81,2.30,1.34,3.43,1.19,1
1460,"moho","mildew",1.07,0.37,1.60,1.04,1.60,0.93,2.07,1.34,4.13,1.17,1
1461,"molde","mold",1.20,0.55,1.07,0.25,1.17,0.59,1.10,0.40,1.10,0.31,1
1462,"molestar","disturb",1.23,0.68,3.60,1.16,2.23,1.22,1.73,1.01,2.10,1.21,2
1463,"molestia","ache",1.07,0.25,2.40,1.40,2.53,1.31,2.27,0.98,1.50,0.82,1
1464,"molino","windmill",1.59,0.91,1.10,0.41,1.07,0.37,1.17,0.54,1.07,0.37,1
1465,"momento","moment",2.55,1.33,1.62,1.15,1.79,1.21,1.90,1.23,1.52,1.06,1
1466,"mona","mona",2.77,1.22,1.00,0.00,1.10,0.31,1.33,0.61,1.03,0.18,1
1467,"monarquía","monarchy",1.27,0.58,2.33,1.42,1.77,1.19,1.27,0.69,2.50,1.59,1
1468,"monasterio","monastery",1.50,0.82,1.80,1.19,2.10,1.06,2.40,1.16,1.67,1.12,1
1469,"moneda","coin",2.57,1.52,1.23,0.63,1.27,0.69,1.37,0.81,1.43,0.86,1
1470,"monedero","purse",2.20,1.30,1.07,0.25,1.23,0.77,1.17,0.46,1.20,0.81,1
1471,"monitor","monitor",2.33,1.24,1.30,0.65,1.17,0.53,1.30,0.60,1.17,0.53,1
1472,"monja","nun",1.43,0.82,1.40,0.81,1.77,1.07,1.33,0.71,1.17,0.46,1
1473,"monje","monk",1.50,0.90,1.97,1.40,2.13,1.25,1.90,1.06,1.97,1.35,1
1474,"mono","cute",2.70,1.26,1.13,0.43,1.20,0.55,1.67,0.96,1.17,0.46,3
1475,"montaje","assembly",1.61,0.74,1.71,1.05,1.50,1.00,1.54,0.79,1.57,1.03,1
1476,"montaña","mountain",2.83,1.62,1.07,0.25,1.13,0.35,2.03,1.25,1.10,0.31,1
